ders	ünite_sıra	ünite_adı	konu_sıra	konu_adı	konu_özeti
Tarih	1	İnsanlığın Hafızası Tarih	1	Tarih Bilimi ve Konusu	Tarih; insan topluluklarının geçmişteki faaliyetlerini yer ve zaman göstererek, sebep-sonuç ilişkisi içinde belgelere dayanarak inceleyen sosyal bilimdir. Tarihin konusu, insanların meydana getirdiği siyasi, askerî, sosyal, ekonomik ve kültürel faaliyetlerdir. Tarihî olaylar tekrarlanamadığı için deney ve gözlem yöntemi uygulanamaz. Tarihî bilgiler, olayın yaşandığı dönemin şartları dikkate alınarak değerlendirilmelidir.
Tarih	1	İnsanlığın Hafızası Tarih	2	Kaynakların Sınıflandırılması	Tarihî kaynaklar, geçmiş hakkında bilgi veren belge, buluntu ve materyallerdir. Birinci el kaynaklar olayın yaşandığı döneme ait kitabe, para, ferman ve arkeolojik buluntu gibi kaynaklardır; ikinci el kaynaklar ise bunlardan yararlanılarak sonradan oluşturulan eserlerdir. Kaynaklar sözlü, yazılı, sesli-görüntülü ve gerçek eşya-nesne kaynakları olarak sınıflandırılır. Tarih araştırmalarında kaynakların güvenilirliği ve döneme yakınlığı önemlidir.
Tarih	1	İnsanlığın Hafızası Tarih	3	Tarihe Yardımcı Bilim Dalları	Kronoloji olayları zaman sırasına koyar; coğrafya insan ve mekân ilişkisini inceler; arkeoloji kazılarla maddi kalıntıları ortaya çıkarır. Nümismatik paraları, paleografya eski yazıları, epigrafi ise kitabe ve mezar taşlarındaki yazıları araştırır. Tarih öncesi dönemlerin aydınlatılmasında en çok arkeolojiden yararlanılır. Nümismatik, paleografya ve epigrafi yazılı materyallere dayandığı için tarih öncesi dönemleri aydınlatamaz.
Tarih	2	Zamanın Taksimi	1	Takvim Sistemlerinin Doğuşu	Takvim, zamanın Güneş ve Ay hareketlerine göre gün, hafta, ay ve yıl gibi bölümlere ayrılmasıdır. Toplumlar, hayatlarını en çok etkileyen olayları takvim başlangıcı kabul etmiştir. Ay yılı 354 gün, Güneş yılı ise 365 gün 6 saattir. Yazının icadı, tarih öncesi dönemlerle tarihî dönemleri birbirinden ayıran gelişmedir.
Tarih	2	Zamanın Taksimi	2	Türklerin Kullandığı Takvimler	Türklerin kullandığı ilk takvim Güneş yılına dayanan On İki Hayvanlı Türk Takvimi’dir. Hicrî Takvim ay yılına dayanır, başlangıcı 622 Hicret’tir ve dinî günlerin belirlenmesinde kullanılır. Celâlî Takvim, Melikşah’ın emriyle Ömer Hayyam başkanlığında hazırlanmıştır. Rûmî Takvim Osmanlı’da mali işlerde kullanılmış, Miladî Takvim ise Türkiye’de 1 Ocak 1926’dan itibaren kabul edilmiştir.
Tarih	3	Avrasya'da İlk Türk İzleri	1	Avrasya ve Türk Adı	Avrasya, Asya ile Avrupa’nın büyük bölümünü kapsayan coğrafi alandır. Türkiye adı Bizans kaynaklarında ilk olarak VI. yüzyılda Orta Asya için kullanılmıştır. Türk adı, 552’de Kök Türk Devleti ile ilk kez resmî devlet adı olarak kullanılmıştır. Türk kelimesi Çin kaynaklarında miğfer, Kaşgarlı Mahmut’a göre olgunluk çağı anlamında açıklanmıştır.
Tarih	3	Avrasya'da İlk Türk İzleri	2	Orta Asya Kültür Merkezleri	Anav, Afanesyevo, Andronova, Karasuk ve Tagar kültürleri Orta Asya’daki önemli kültür merkezleridir. Anav kültüründe ata ilk kez rastlanır; Afanesyevo ve Andronova kültürleri Ön Türklerle ilişkilendirilir. Karasuk kültürü demirin erken işlenmesiyle öne çıkmıştır. Tagar kültürü ise önceki Türk kültürlerinin gelişmiş devamı kabul edilir.
Tarih	3	Avrasya'da İlk Türk İzleri	3	Bozkır Coğrafyası ve Askerî Kültür	Bozkır coğrafyası Türklerde hayvancılığa, yaylak-kışlak düzenine ve konar-göçer yaşama yol açmıştır. Eli silah tutan herkes asker sayıldığı için ordu-millet anlayışı gelişmiştir. Türk ordusunun temelini atlı okçular oluşturmuş; onlu sistem uygulanmıştır. Sahte geri çekilme ve pusudan oluşan Turan taktiği, Türklerin önemli savaş yöntemidir.
Tarih	4	Boylardan Devlete-I	1	Türklerde Sosyal Yapı	Eski Türk toplumunda en küçük birlik aile yani oguştu. Aileler urugları, uruglar boyları, boylar budunları; budunlar ise devleti yani ili oluştururdu. Boy beyleri ekonomik ve siyasi güce sahip kişiler arasından seçilirdi. Mete Han, Türk boylarını ilk kez tek bayrak altında toplamıştır.
Tarih	4	Boylardan Devlete-I	2	Kut Anlayışı ve Devlet Teşkilatı	Kut anlayışına göre yönetme yetkisi kağana Gök Tengri tarafından verilirdi. Kutun hanedan üyelerine de geçtiğine inanıldığı için bütün hanedan mensupları tahta aday olabilirdi. Kurultay, devlet işlerinin görüşüldüğü en yüksek danışma meclisiydi. Türklerde devlet yönetimini kolaylaştırmak amacıyla ikili teşkilat uygulanmış, ülke doğu ve batı olarak yönetilmiştir.
